role,canonicalPermissions,permission,expected,evidence,status,notes
SUPER_ADMIN,*,USER_READ,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,all privileged operations
SUPER_ADMIN,*,USER_MUTATE,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,all privileged operations
SUPER_ADMIN,*,FINANCE_READ_SENSITIVE,ALLOW_LIMITED_AUDITED,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,all privileged operations
SUPER_ADMIN,*,MODERATION_MUTATE,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,all privileged operations
SUPER_ADMIN,*,CONTENT_MUTATE,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,all privileged operations
SUPER_ADMIN,*,SUPPORT_MUTATE,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,all privileged operations
SUPER_ADMIN,*,ADS_MUTATE,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,all privileged operations
SUPER_ADMIN,*,AUDIT_READ,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,all privileged operations
SUPER_ADMIN,*,ROLE_MUTATE,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,all privileged operations
SUPER_ADMIN,*,SYSTEM_OPERATION,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,all privileged operations
OPS_ADMIN,admin:write; user:manage; incident:manage,USER_READ,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ops and incident management without role:manage by default
OPS_ADMIN,admin:write; user:manage; incident:manage,USER_MUTATE,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ops and incident management without role:manage by default
OPS_ADMIN,admin:write; user:manage; incident:manage,FINANCE_READ_SENSITIVE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ops and incident management without role:manage by default
OPS_ADMIN,admin:write; user:manage; incident:manage,MODERATION_MUTATE,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ops and incident management without role:manage by default
OPS_ADMIN,admin:write; user:manage; incident:manage,CONTENT_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ops and incident management without role:manage by default
OPS_ADMIN,admin:write; user:manage; incident:manage,SUPPORT_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ops and incident management without role:manage by default
OPS_ADMIN,admin:write; user:manage; incident:manage,ADS_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ops and incident management without role:manage by default
OPS_ADMIN,admin:write; user:manage; incident:manage,AUDIT_READ,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ops and incident management without role:manage by default
OPS_ADMIN,admin:write; user:manage; incident:manage,ROLE_MUTATE,DENY_WITH_BREAK_GLASS_SCOPE_ONLY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ops and incident management without role:manage by default
OPS_ADMIN,admin:write; user:manage; incident:manage,SYSTEM_OPERATION,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ops and incident management without role:manage by default
MODERATOR,community:moderate; report:manage,USER_READ,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,moderation only; finance and role mutation denied
MODERATOR,community:moderate; report:manage,USER_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,moderation only; finance and role mutation denied
MODERATOR,community:moderate; report:manage,FINANCE_READ_SENSITIVE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,moderation only; finance and role mutation denied
MODERATOR,community:moderate; report:manage,MODERATION_MUTATE,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,moderation only; finance and role mutation denied
MODERATOR,community:moderate; report:manage,CONTENT_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,moderation only; finance and role mutation denied
MODERATOR,community:moderate; report:manage,SUPPORT_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,moderation only; finance and role mutation denied
MODERATOR,community:moderate; report:manage,ADS_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,moderation only; finance and role mutation denied
MODERATOR,community:moderate; report:manage,AUDIT_READ,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,moderation only; finance and role mutation denied
MODERATOR,community:moderate; report:manage,ROLE_MUTATE,DENY_WITH_BREAK_GLASS_SCOPE_ONLY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,moderation only; finance and role mutation denied
MODERATOR,community:moderate; report:manage,SYSTEM_OPERATION,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,moderation only; finance and role mutation denied
CONTENT_ADMIN,growth:manage; notice:write,USER_READ,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,content and notice management; role mutation denied
CONTENT_ADMIN,growth:manage; notice:write,USER_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,content and notice management; role mutation denied
CONTENT_ADMIN,growth:manage; notice:write,FINANCE_READ_SENSITIVE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,content and notice management; role mutation denied
CONTENT_ADMIN,growth:manage; notice:write,MODERATION_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,content and notice management; role mutation denied
CONTENT_ADMIN,growth:manage; notice:write,CONTENT_MUTATE,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,content and notice management; role mutation denied
CONTENT_ADMIN,growth:manage; notice:write,SUPPORT_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,content and notice management; role mutation denied
CONTENT_ADMIN,growth:manage; notice:write,ADS_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,content and notice management; role mutation denied
CONTENT_ADMIN,growth:manage; notice:write,AUDIT_READ,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,content and notice management; role mutation denied
CONTENT_ADMIN,growth:manage; notice:write,ROLE_MUTATE,DENY_WITH_BREAK_GLASS_SCOPE_ONLY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,content and notice management; role mutation denied
CONTENT_ADMIN,growth:manage; notice:write,SYSTEM_OPERATION,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,content and notice management; role mutation denied
SUPPORT,support:manage; user:read,USER_READ,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,support limited access; raw credentials/finance denied by route contract
SUPPORT,support:manage; user:read,USER_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,support limited access; raw credentials/finance denied by route contract
SUPPORT,support:manage; user:read,FINANCE_READ_SENSITIVE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,support limited access; raw credentials/finance denied by route contract
SUPPORT,support:manage; user:read,MODERATION_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,support limited access; raw credentials/finance denied by route contract
