ERROR_CODE,NAMESPACE,HTTP_STATUS,RETRYABLE,USER_FACING,LOG_SEVERITY,OWNING_DOMAIN
ADMIN_ACTION_FORBIDDEN,ADMIN,403,NO,NO_PRIVATE_SAFE,HIGH,ADMIN
ADMIN_APPROVAL_REQUIRED,ADMIN,403,NO,NO_PRIVATE_SAFE,HIGH,ADMIN
ADMIN_AUDIT_LOG_FAILED,ADMIN,403,NO,NO_PRIVATE_SAFE,HIGH,ADMIN
ADMIN_DASHBOARD_UNAVAILABLE,ADMIN,403,NO,NO_PRIVATE_SAFE,HIGH,ADMIN
ADMIN_INCIDENT_REQUIRED,ADMIN,403,NO,NO_PRIVATE_SAFE,HIGH,ADMIN
ADMIN_REASON_REQUIRED,ADMIN,403,NO,NO_PRIVATE_SAFE,HIGH,ADMIN
ADMIN_RESOURCE_NOT_FOUND,ADMIN,403,NO,NO_PRIVATE_SAFE,HIGH,ADMIN
ADS_CAMPAIGN_NOT_FOUND,ADS,422,NO,NO_PRIVATE_SAFE,MEDIUM,ADS
ADS_CONSENT_REQUIRED,ADS,422,NO,NO_PRIVATE_SAFE,MEDIUM,ADS
ADS_EVENT_REJECTED,ADS,422,NO,NO_PRIVATE_SAFE,MEDIUM,ADS
ADS_PARTNER,ADS,422,NO,NO_PRIVATE_SAFE,MEDIUM,ADS
ADS_PLACEMENT_DISABLED,ADS,422,NO,NO_PRIVATE_SAFE,MEDIUM,ADS
ADS_RAW_FINANCIAL_DATA_REJECTED,ADS,422,NO,NO_PRIVATE_SAFE,MEDIUM,ADS
AUTHZ_OWNER_MISMATCH,AUTHZ,403,NO,YES_SAFE_MESSAGE,HIGH,AUTHZ
AUTH_ACCOUNT_SUSPENDED,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_ACCOUNT_WITHDRAWN,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_CONSENT_REQUIRED,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_DEVICE_NOT_TRUSTED,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_EMAIL_ALREADY_EXISTS,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_EMAIL_NOT_VERIFIED,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_INVALID_CREDENTIALS,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_MFA_INVALID,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_MFA_REQUIRED,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_PASSWORD_POLICY_FAILED,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_PROVIDER_CODE_INVALID,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_PROVIDER_NOT_SUPPORTED,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_PROVIDER_STATE_MISMATCH,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_RATE_LIMITED,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_REFRESH_TOKEN_REUSED,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_SESSION_NOT_FOUND,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_SESSION_REVOKED,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_TOKEN_EXPIRED,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_TOKEN_INVALID,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
AUTH_TOKEN_MISSING,AUTH,401,NO,YES_SAFE_MESSAGE,MEDIUM,AUTH
BUDGET_AMOUNT_INVALID,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,BUDGET
BUDGET_DAILY_ALREADY_EXISTS,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,BUDGET
BUDGET_DAILY_NOT_FOUND,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,BUDGET
BUDGET_DATE_OUT_OF_RANGE,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,BUDGET
BUDGET_OVER_AMOUNT_DETECTED,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,BUDGET
BUDGET_RECALCULATION_REQUIRED,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,BUDGET
COMMUNITY_ANONYMOUS_OWNER_PROTECTED,COMMUNITY,422,NO,YES_SAFE_MESSAGE,MEDIUM,COMMUNITY
COMMUNITY_ATTACHMENT_INVALID,COMMUNITY,422,NO,YES_SAFE_MESSAGE,MEDIUM,COMMUNITY
COMMUNITY_COMMENT_NOT_FOUND,COMMUNITY,422,NO,YES_SAFE_MESSAGE,MEDIUM,COMMUNITY
COMMUNITY_CONTENT_POLICY_VIOLATION,COMMUNITY,422,NO,YES_SAFE_MESSAGE,MEDIUM,COMMUNITY
COMMUNITY_MODERATION_REQUIRED,COMMUNITY,422,NO,YES_SAFE_MESSAGE,MEDIUM,COMMUNITY
COMMUNITY_POLICY_VIOLATION,COMMUNITY,422,NO,YES_SAFE_MESSAGE,MEDIUM,COMMUNITY
COMMUNITY_POST_NOT_FOUND,COMMUNITY,422,NO,YES_SAFE_MESSAGE,MEDIUM,COMMUNITY
COMMUNITY_REPORT_REQUIRED,COMMUNITY,422,NO,YES_SAFE_MESSAGE,MEDIUM,COMMUNITY
COMMUNITY_WRITE_BLOCKED,COMMUNITY,422,NO,YES_SAFE_MESSAGE,MEDIUM,COMMUNITY
CONFLICT_RESOURCE_VERSION,CONFLICT,409,NO,NO_PRIVATE_SAFE,MEDIUM,CONFLICT
CONTACT_SUPPORT,CONTACT,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,CONTACT
DATABASE_BACKUP_REQUIRED,DATABASE,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,DATABASE
DATABASE_CONFLICT,DATABASE,409,NO,NO_PRIVATE_SAFE,MEDIUM,DATABASE
DATABASE_CONNECTION_FAILED,DATABASE,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,DATABASE
DATABASE_CONSTRAINT_VIOLATION,DATABASE,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,DATABASE
