ORIGINAL_ROW_ID,ORIGINAL_REQUIREMENT_ID,ORIGINAL_TITLE,CLASSIFICATION,CANONICAL_REQ_ID,CANONICAL_RELATION,IS_NORMATIVE,IS_STITCH_OR_UI_STATE,IS_GATE,IS_LEGACY,IS_SUPERSEDED,NOTES
1,REQ-ROOT-001,All work must happen only in salary-hijacking-platform,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
2,REQ-ROOT-002,Do not work in salary-hijacking-main or salary-hijacking-work,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
3,REQ-SEC-001,Secret scans and reports must not print raw secret values,TEST_GATE,SEC-001,MAPS_TO,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
4,REQ-APP-001,Tab route names must match actual folders and cold start must not crash,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
5,REQ-APP-002,?ъ슜 ?덉젙 and ?ъ슜 ?꾨즺 state/labels must match domain semantics,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
6,REQ-APP-003,Saved variable expense must persist across navigation and app restart,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
7,REQ-APP-004,Plan sections must support item add/edit/delete with category/content/amount/date,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
8,REQ-APP-005,Input forms must stay above keyboard and safe areas,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
9,REQ-APP-006,Notification screen must hide bottom tabs and deep link correctly,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
10,REQ-FIN-001,"Payroll, budget, expense, savings, hijack amount calculations must be server-authoritative",LEGACY_REQUIREMENT,FIN-001,MAPS_TO,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
11,REQ-FIN-002,"KRW money values must be integers, no negative/fractional authoritative money",LEGACY_REQUIREMENT,FIN-002,MAPS_TO,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
12,REQ-TIME-001,Store UTC and present user-facing Korean time in Asia/Seoul,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
13,REQ-UI-001,"Implement 17 PDF core screens as actual components, not background images",LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
14,REQ-UI-002,"Support 320-430px responsive layout, safe area, keyboard avoidance",LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
15,REQ-NOTI-001,"Notification list, read state, deep link, permission and settings must work",LEGACY_REQUIREMENT,NOTI-001,MAPS_TO,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
