REFERENCE_ID,SCREEN_GROUP,STATE_TYPE,SOURCE_PATH,SOURCE_HASH,PRODUCTION_ROUTE,COMPONENT,CURRENT_STATUS,RELATED_REQ_IDS
BS-001-V001,BS-001,bottom_sheet,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,EXP-001
BS-001-V002,BS-001,bottom_sheet,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,HOME-001;PAY-001
BS-002-V001,BS-002,multi_state_board,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,HOME-001;PAY-001
BS-003-V001,BS-003,bottom_sheet,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,HOME-001;PAY-001
BS-004-V001,BS-004,bottom_sheet,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,HOME-001;PAY-001
BS-005-V001,BS-005,bottom_sheet,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,HOME-001;PAY-001
BS-005-V002,BS-005,multi_state_board,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,HOME-001;PAY-001
BS-005-V003,BS-005,bottom_sheet,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,HOME-001;PAY-001
BS-006-V001,BS-006,bottom_sheet,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,HOME-001;PAY-001
BS-006-V002,BS-006,bottom_sheet,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,HOME-001;PAY-001
BS-006-V003,BS-006,bottom_sheet,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,HOME-001;PAY-001
BS-007-V001,BS-007,multi_state_board,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,HOME-001;PAY-001
BS-008-V001,BS-008,bottom_sheet,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,HOME-001;PAY-001
BS-010-V001,BS-010,bottom_sheet,docs/design/stitch/2026-07-16/stitch-screen-inventory.csv,C4D799B10C8ED8C6B4E7C0DFD87BB6A1BA76C9F1A3CC06796460F4AE06B7BCF4,overlay,UNVERIFIED_COMPONENT_MAPPING,UNVERIFIED,HOME-001;PAY-001
