METHOD,PATH,DOMAIN,REQ_ID,DB_TABLES_DECLARED_BY_PHASE1,DB_MAPPING_STATUS,VALIDATION_TO_DB_CONSTRAINT,OWNERSHIP_TO_RLS,IDEMPOTENCY_TO_UNIQUE_INDEX,STATUS
GET,/admin/api/v1/dashboard,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/admin/api/v1/users,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/admin/api/v1/users/{userId},ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/admin/api/v1/users/{userId}/suspend,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/admin/api/v1/users/{userId}/restore,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/admin/api/v1/users/{userId}/force-logout,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
GET,/admin/api/v1/users/{userId}/activity-summary,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/admin/api/v1/community/posts,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/admin/api/v1/community/posts/{postId},ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/admin/api/v1/community/posts/{postId}/hide,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/admin/api/v1/community/posts/{postId}/restore,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
DELETE,/admin/api/v1/community/posts/{postId},ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
GET,/admin/api/v1/reports,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/admin/api/v1/reports/{reportId}/resolve,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
GET,/admin/api/v1/notices,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/admin/api/v1/notices,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
PATCH,/admin/api/v1/notices/{noticeId},ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/admin/api/v1/notices/{noticeId}/publish,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
