MIGRATION_ID,FILE_PATH,FILE_SHA256,ORDER,APPLIED_IN_STAGING,APPLIED_AT,DB_RECORDED_CHECKSUM,FILE_CHECKSUM_MATCH,IDEMPOTENT,FORWARD_RECOVERY_AVAILABLE,BACKFILL_REQUIRED,STATUS
0001_init_users,database/migrations/0001_init_users.sql,0AE238341ECFB430CF7EAD8850A6627627C81143CB42E352ED2BB6CCE727ECA8,1,YES_DB_META_LEDGER_VERIFIED,DB_META_BASELINE_IMPORT_2026-08-13,0AE238341ECFB430CF7EAD8850A6627627C81143CB42E352ED2BB6CCE727ECA8,YES,PARTIAL_STATIC_GUARDS_PRESENT,YES_SYNTHETIC_FORWARD_RECOVERY_TESTED,YES_OR_DATA_TOUCHING,VERIFIED_APPLIED
0002_payroll_budget_expense,database/migrations/0002_payroll_budget_expense.sql,82F6CF91A31D2900B3EF6A08700609AB4510DEB3D7C4E5DAA698D5E80EE562D1,2,YES_DB_META_LEDGER_VERIFIED,DB_META_BASELINE_IMPORT_2026-08-13,82F6CF91A31D2900B3EF6A08700609AB4510DEB3D7C4E5DAA698D5E80EE562D1,YES,PARTIAL_STATIC_GUARDS_PRESENT,YES_SYNTHETIC_FORWARD_RECOVERY_TESTED,YES_OR_DATA_TOUCHING,VERIFIED_APPLIED
0003_growth_community_notifications,database/migrations/0003_growth_community_notifications.sql,C8CD37121C663A8253AAB18D2C8659D879054261794DE0A4F765AB1D3826B427,3,YES_DB_META_LEDGER_VERIFIED,DB_META_BASELINE_IMPORT_2026-08-13,C8CD37121C663A8253AAB18D2C8659D879054261794DE0A4F765AB1D3826B427,YES,PARTIAL_STATIC_GUARDS_PRESENT,YES_SYNTHETIC_FORWARD_RECOVERY_TESTED,YES_OR_DATA_TOUCHING,VERIFIED_APPLIED
0004_admin_audit_ads,database/migrations/0004_admin_audit_ads.sql,709F39CDBFFF75AB9F7C26894556269522C782402105403D17512771FFE42C4A,4,YES_DB_META_LEDGER_VERIFIED,DB_META_BASELINE_IMPORT_2026-08-13,709F39CDBFFF75AB9F7C26894556269522C782402105403D17512771FFE42C4A,YES,PARTIAL_STATIC_GUARDS_PRESENT,YES_SYNTHETIC_FORWARD_RECOVERY_TESTED,YES_OR_DATA_TOUCHING,VERIFIED_APPLIED
0005_auth_runtime,database/migrations/0005_auth_runtime.sql,7FD2C9582271BD2E38BB286D8564B71D43D3A20268809C05BB116C609527260E,5,YES_DB_META_LEDGER_VERIFIED,DB_META_BASELINE_IMPORT_2026-08-13,7FD2C9582271BD2E38BB286D8564B71D43D3A20268809C05BB116C609527260E,YES,PARTIAL_STATIC_GUARDS_PRESENT,YES_SYNTHETIC_FORWARD_RECOVERY_TESTED,NO_STATIC_SCHEMA_ONLY,VERIFIED_APPLIED
0006_user_support_tickets,database/migrations/0006_user_support_tickets.sql,F0661BEA11320EEF740E873A497C15F939102ECD242A6219EE5E1459EAB58827,6,YES_DB_META_LEDGER_VERIFIED,DB_META_BASELINE_IMPORT_2026-08-13,F0661BEA11320EEF740E873A497C15F939102ECD242A6219EE5E1459EAB58827,YES,PARTIAL_STATIC_GUARDS_PRESENT,YES_SYNTHETIC_FORWARD_RECOVERY_TESTED,NO_STATIC_SCHEMA_ONLY,VERIFIED_APPLIED
0007_user_privacy_actions,database/migrations/0007_user_privacy_actions.sql,183D168F397C311D555BC1B04B3EAA58077C708AFF8917CEF19461D52214D1C4,7,YES_DB_META_LEDGER_VERIFIED,DB_META_BASELINE_IMPORT_2026-08-13,183D168F397C311D555BC1B04B3EAA58077C708AFF8917CEF19461D52214D1C4,YES,PARTIAL_STATIC_GUARDS_PRESENT,YES_SYNTHETIC_FORWARD_RECOVERY_TESTED,NO_STATIC_SCHEMA_ONLY,VERIFIED_APPLIED
0008_user_preferences_consents,database/migrations/0008_user_preferences_consents.sql,F202517C34EE39DC26257A87975CC5F832EDFB8DF2D07BDF74AB1E697C27C833,8,YES_DB_META_LEDGER_VERIFIED,DB_META_BASELINE_IMPORT_2026-08-13,F202517C34EE39DC26257A87975CC5F832EDFB8DF2D07BDF74AB1E697C27C833,YES,PARTIAL_STATIC_GUARDS_PRESENT,YES_SYNTHETIC_FORWARD_RECOVERY_TESTED,NO_STATIC_SCHEMA_ONLY,VERIFIED_APPLIED
0009_user_profile_fields,database/migrations/0009_user_profile_fields.sql,16F4B0468E8993C71CF6713740C96BE5782C3DCD861A162CE710D67DCB64764C,9,YES_DB_META_LEDGER_VERIFIED,DB_META_BASELINE_IMPORT_2026-08-13,16F4B0468E8993C71CF6713740C96BE5782C3DCD861A162CE710D67DCB64764C,YES,PARTIAL_STATIC_GUARDS_PRESENT,YES_SYNTHETIC_FORWARD_RECOVERY_TESTED,NO_STATIC_SCHEMA_ONLY,VERIFIED_APPLIED
0010_uploads_runtime_metadata,database/migrations/0010_uploads_runtime_metadata.sql,050AE911D72FA77D5349890EF1E3B62E90BD4B85444632BF83AF584B95E8ACEA,10,YES_DB_META_LEDGER_VERIFIED,DB_META_BASELINE_IMPORT_2026-08-13,050AE911D72FA77D5349890EF1E3B62E90BD4B85444632BF83AF584B95E8ACEA,YES,PARTIAL_STATIC_GUARDS_PRESENT,YES_SYNTHETIC_FORWARD_RECOVERY_TESTED,NO_STATIC_SCHEMA_ONLY,VERIFIED_APPLIED
