EXPORT_NAME,SOURCE_PATH,EXPORT_KIND,PHYSICAL_TABLE_NAME,MIGRATION_BACKED,LIVE_EXISTS,CLASSIFICATION,CANONICAL_41_MEMBER,RELATED_REQ_IDS,ACTION,NOTES
admin_role_members,packages/db/src/schema/users.schema.ts,DB_TABLE_SPEC,admin_role_members,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,ADMIN;SEC,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
admin_roles,packages/db/src/schema/users.schema.ts,DB_TABLE_SPEC,admin_roles,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,ADMIN;SEC,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
auth_credentials,packages/db/src/schema/users.schema.ts,DB_TABLE_SPEC,auth_credentials,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,AUTH;SEC,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
auth_identities,packages/db/src/schema/users.schema.ts,DB_TABLE_SPEC,auth_identities,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,AUTH;SEC,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
auth_sessions,packages/db/src/schema/users.schema.ts,DB_TABLE_SPEC,auth_sessions,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,AUTH;SEC,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
community_audit_events,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,COM,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
community_boards,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,COM,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
community_bookmarks,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,COM,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
community_comments,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,community_comments,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,COM,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
community_idempotency_records,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,COM,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
