folder,instance_code,primary_code,screen_name_ko,variant_slug,state_code,artifact_type,route_or_overlay,implementation_method,notes
stitch_salary_hijacking_design_system_classified/BS-001-V001__expense-category-selector,BS-001-V001,BS-001,,expense-category-selector,INPUT,bottom_sheet,overlay,,
stitch_salary_hijacking_design_system_classified/BS-001-V002__financial-institution-selector,BS-001-V002,BS-001,,financial-institution-selector,INPUT,bottom_sheet,overlay,,
stitch_salary_hijacking_design_system_classified/BS-002-V001__date-selection-collection,BS-002-V001,BS-002,,date-selection-collection,MULTI_STATE,multi_state_board,overlay,,
stitch_salary_hijacking_design_system_classified/BS-003-V001__recurrence-selector,BS-003-V001,BS-003,,recurrence-selector,INPUT,bottom_sheet,overlay,,
stitch_salary_hijacking_design_system_classified/BS-004-V001__file-photo-attachment,BS-004-V001,BS-004,,file-photo-attachment,UPLOADING,bottom_sheet,overlay,,
stitch_salary_hijacking_design_system_classified/BS-005-V001__certification-share-review,BS-005-V001,BS-005,,certification-share-review,SHARE_REVIEW,bottom_sheet,overlay,,
stitch_salary_hijacking_design_system_classified/BS-005-V002__share-standard-blocked,BS-005-V002,BS-005,,share-standard-blocked,MULTI_STATE,multi_state_board,overlay,,
stitch_salary_hijacking_design_system_classified/BS-005-V003__levelup-share-review,BS-005-V003,BS-005,,levelup-share-review,SHARE_REVIEW,bottom_sheet,overlay,,
stitch_salary_hijacking_design_system_classified/BS-006-V001__comment-report-reason,BS-006-V001,BS-006,,comment-report-reason,INPUT,bottom_sheet,overlay,,
stitch_salary_hijacking_design_system_classified/BS-006-V002__post-report-reason,BS-006-V002,BS-006,,post-report-reason,INPUT,bottom_sheet,overlay,,
stitch_salary_hijacking_design_system_classified/BS-006-V003__report-reason-selector,BS-006-V003,BS-006,,report-reason-selector,INPUT,bottom_sheet,overlay,,
stitch_salary_hijacking_design_system_classified/BS-007-V001__post-menu-collection,BS-007-V001,BS-007,,post-menu-collection,MULTI_STATE,multi_state_board,overlay,,
stitch_salary_hijacking_design_system_classified/BS-008-V001__sort-filter,BS-008-V001,BS-008,,sort-filter,INPUT,bottom_sheet,overlay,,
stitch_salary_hijacking_design_system_classified/BS-010-V001__visibility-selector,BS-010-V001,BS-010,,visibility-selector,INPUT,bottom_sheet,overlay,,
stitch_salary_hijacking_design_system_classified/BS-011-V001__draft-exit-state-board,BS-011-V001,BS-011,,draft-exit-state-board,MULTI_STATE,multi_state_board,overlay,,
stitch_salary_hijacking_design_system_classified/BS-012-V001__device-permission-guide,BS-012-V001,BS-012,,device-permission-guide,PERMISSION,bottom_sheet,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-001-V001__payroll-amount-validation-error,MOD-001-V001,MOD-001,,payroll-amount-validation-error,ERROR,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-001-V002__salary-amount-check,MOD-001-V002,MOD-001,,salary-amount-check,ERROR,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-001-V003__amount-input-error,MOD-001-V003,MOD-001,,amount-input-error,ERROR,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-001-V004__monthly-budget-over-limit,MOD-001-V004,MOD-001,,monthly-budget-over-limit,ERROR,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-002-V001__fixed-expense-delete-confirm,MOD-002-V001,MOD-002,,fixed-expense-delete-confirm,CONFIRM,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-002-V002__expense-delete-confirm,MOD-002-V002,MOD-002,,expense-delete-confirm,CONFIRM,modal,overlay,,
