ROUTE,NORMAL,LOADING,EMPTY,ERROR,OFFLINE,PERMISSION,VALIDATION,RETRY,STATUS
/,YES_SERVER_DATA,YES,YES,YES,YES,YES_OR_NOT_APPLICABLE,YES_OR_NOT_APPLICABLE,YES,PASS_SOURCE_INTERNAL
/(auth)/login,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,N/A,PASS_SOURCE_INTERNAL
/(auth)/signup,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,N/A,PASS_SOURCE_INTERNAL
/(auth)/forgot-password,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,N/A,PASS_SOURCE_INTERNAL
/(auth)/reset-password,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,N/A,PASS_SOURCE_INTERNAL
/(auth)/verify-email,YES_SERVER_DATA,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,PASS_SOURCE_INTERNAL
/auth/oauth/callback,YES_SERVER_DATA,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,PASS_SOURCE_INTERNAL
/onboarding,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,N/A,PASS_SOURCE_INTERNAL
/salary,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,YES_OR_NOT_APPLICABLE,N/A,PASS_SOURCE_INTERNAL
/plan,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,N/A,PASS_SOURCE_INTERNAL
/notifications,YES_SERVER_DATA,YES,YES,YES,YES,YES_OR_NOT_APPLICABLE,N/A,YES,PASS_SOURCE_INTERNAL
/notifications/settings,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,N/A,PASS_SOURCE_INTERNAL
/level,YES_SERVER_DATA,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,YES_OR_NOT_APPLICABLE,YES,PASS_SOURCE_INTERNAL
/level/reading,YES_SERVER_DATA,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,PASS_SOURCE_INTERNAL
/level/news,YES_SERVER_DATA,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,PASS_SOURCE_INTERNAL
/level/english,YES_SERVER_DATA,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,PASS_SOURCE_INTERNAL
/level/health,YES_SERVER_DATA,YES,YES,YES,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,YES,PASS_SOURCE_INTERNAL
/community,YES_SERVER_DATA,YES,YES,YES,READ_ONLY_ERROR_STATE,N/A,YES_OR_NOT_APPLICABLE,YES,PASS_SOURCE_INTERNAL
/community/[postId],YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,N/A,PASS_SOURCE_INTERNAL
/community/write,YES_SERVER_DATA,YES,YES,YES,YES,YES_OR_NOT_APPLICABLE,YES_OR_NOT_APPLICABLE,YES,PASS_SOURCE_INTERNAL
/profile,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,YES_OR_NOT_APPLICABLE,N/A,PASS_SOURCE_INTERNAL
/profile/account,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,N/A,PASS_SOURCE_INTERNAL
/profile/settings,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,YES_OR_NOT_APPLICABLE,N/A,PASS_SOURCE_INTERNAL
/profile/support,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,N/A,PASS_SOURCE_INTERNAL
/profile/notices,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,N/A,PASS_SOURCE_INTERNAL
/profile/level,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,N/A,PASS_SOURCE_INTERNAL
/profile/community,YES_SERVER_DATA,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,N/A_NAVIGATION_ONLY,READ_ONLY_ERROR_STATE,YES_OR_NOT_APPLICABLE,N/A,N/A,PASS_SOURCE_INTERNAL
