REQ_ID,MOBILE_SCOPE,ROUTES,COMPONENTS,API,STATES,TEST,RUNTIME,EVIDENCE,STATUS
AUTH-001,auth/session/account mobile flows,/; /(auth)/login; /(auth)/signup; /(auth)/forgot-password; /(auth)/reset-password; /(auth)/verify-email; /auth/oauth/callback; /onboarding; /profile/account; /profile/support,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
AUTH-002,auth/session/account mobile flows,/; /(auth)/login; /(auth)/signup; /(auth)/forgot-password; /(auth)/reset-password; /(auth)/verify-email; /auth/oauth/callback; /onboarding; /profile/account; /profile/support,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
AUTH-003,auth/session/account mobile flows,/; /(auth)/login; /(auth)/signup; /(auth)/forgot-password; /(auth)/reset-password; /(auth)/verify-email; /auth/oauth/callback; /onboarding; /profile/account; /profile/support,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
AUTH-004,auth/session/account mobile flows,/; /(auth)/login; /(auth)/signup; /(auth)/forgot-password; /(auth)/reset-password; /(auth)/verify-email; /auth/oauth/callback; /onboarding; /profile/account; /profile/support,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
AUTH-005,auth/session/account mobile flows,/; /(auth)/login; /(auth)/signup; /(auth)/forgot-password; /(auth)/reset-password; /(auth)/verify-email; /auth/oauth/callback; /onboarding; /profile/account; /profile/support,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
AUTH-006,auth/session/account mobile flows,/; /(auth)/login; /(auth)/signup; /(auth)/forgot-password; /(auth)/reset-password; /(auth)/verify-email; /auth/oauth/callback; /onboarding; /profile/account; /profile/support,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,EXTERNAL_BLOCKER_PROVIDER_RUNTIME_CONFIG
AUTH-007,auth/session/account mobile flows,/; /(auth)/login; /(auth)/signup; /(auth)/forgot-password; /(auth)/reset-password; /(auth)/verify-email; /auth/oauth/callback; /onboarding; /profile/account; /profile/support,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
AUTH-008,auth/session/account mobile flows,/; /(auth)/login; /(auth)/signup; /(auth)/forgot-password; /(auth)/reset-password; /(auth)/verify-email; /auth/oauth/callback; /onboarding; /profile/account; /profile/support,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
AUTH-009,auth/session/account mobile flows,/; /(auth)/login; /(auth)/signup; /(auth)/forgot-password; /(auth)/reset-password; /(auth)/verify-email; /auth/oauth/callback; /onboarding; /profile/account; /profile/support,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
AUTH-010,auth/session/account mobile flows,/; /(auth)/login; /(auth)/signup; /(auth)/forgot-password; /(auth)/reset-password; /(auth)/verify-email; /auth/oauth/callback; /onboarding; /profile/account; /profile/support,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
