requirementId,domain,requirement,implementationPath,testEvidence,runtimeEvidence,status,blocker
WEB-001,WEB,Landing,apps/web/index.html,scripts/audit/generate-phase-8-web-analytics.mjs; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/WEB_RUNTIME_EVIDENCE.json,PASS,
WEB-002,WEB,Privacy Policy,apps/web/privacy.html,scripts/audit/generate-phase-8-web-analytics.mjs; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/WEB_RUNTIME_EVIDENCE.json,PASS,
WEB-003,WEB,Terms,apps/web/terms.html,scripts/audit/generate-phase-8-web-analytics.mjs; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/WEB_RUNTIME_EVIDENCE.json,PASS,
WEB-004,WEB,Support,apps/web/support.html,scripts/audit/generate-phase-8-web-analytics.mjs; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/WEB_RUNTIME_EVIDENCE.json,PASS,
WEB-005,WEB,Partnership Inquiry,apps/web/index.html#partner; apps/web/partners.html,scripts/audit/generate-phase-8-web-analytics.mjs; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/WEB_RUNTIME_EVIDENCE.json,PASS,
WEB-006,WEB,Company Information,apps/web/index.html; apps/web/privacy.html; apps/web/terms.html; apps/web/support.html,scripts/audit/generate-phase-8-web-analytics.mjs; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/WEB_RUNTIME_EVIDENCE.json,PASS,
WEB-007,WEB,SEO / OG,apps/web/index.html; apps/web/sitemap.xml; apps/web/robots.txt; apps/web/_redirects,scripts/audit/generate-phase-8-web-analytics.mjs; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/WEB_RUNTIME_EVIDENCE.json,PASS,
WEB-008,WEB,Accessibility / Responsive,apps/web/index.html; apps/web/assets/styles.css,scripts/audit/generate-phase-8-web-analytics.mjs; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/WEB_RUNTIME_EVIDENCE.json,PASS,
ANL-001,ANL,Event Taxonomy,packages/api-contract/src/analytics/analytics.schema.ts,packages/api-contract/src/analytics/analytics.schema.test.ts; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/ANALYTICS_SCHEMA.md; docs/web-analytics/PRIVACY_EVENT_AUDIT.csv,PASS,
ANL-002,ANL,Privacy-safe Parameters,packages/api-contract/src/analytics/analytics.schema.ts,packages/api-contract/src/analytics/analytics.schema.test.ts; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/ANALYTICS_SCHEMA.md; docs/web-analytics/PRIVACY_EVENT_AUDIT.csv,PASS,
ANL-003,ANL,Activation,docs/web-analytics/ANALYTICS_SCHEMA.md,packages/api-contract/src/analytics/analytics.schema.test.ts; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/ANALYTICS_SCHEMA.md; docs/web-analytics/PRIVACY_EVENT_AUDIT.csv,PASS,
ANL-004,ANL,Retention,docs/web-analytics/ANALYTICS_SCHEMA.md,packages/api-contract/src/analytics/analytics.schema.test.ts; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/ANALYTICS_SCHEMA.md; docs/web-analytics/PRIVACY_EVENT_AUDIT.csv,PASS,
ANL-005,ANL,Finance Outcome Aggregate,docs/web-analytics/ANALYTICS_SCHEMA.md,packages/api-contract/src/analytics/analytics.schema.test.ts; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/ANALYTICS_SCHEMA.md; docs/web-analytics/PRIVACY_EVENT_AUDIT.csv,PASS,
ANL-006,ANL,Growth,docs/web-analytics/ANALYTICS_SCHEMA.md,packages/api-contract/src/analytics/analytics.schema.test.ts; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/ANALYTICS_SCHEMA.md; docs/web-analytics/PRIVACY_EVENT_AUDIT.csv,PASS,
ANL-007,ANL,Community Health,docs/web-analytics/ANALYTICS_SCHEMA.md,packages/api-contract/src/analytics/analytics.schema.test.ts; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/ANALYTICS_SCHEMA.md; docs/web-analytics/PRIVACY_EVENT_AUDIT.csv,PASS,
ANL-008,ANL,Ads,docs/web-analytics/ANALYTICS_SCHEMA.md,packages/api-contract/src/analytics/analytics.schema.test.ts; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/ANALYTICS_SCHEMA.md; docs/web-analytics/PRIVACY_EVENT_AUDIT.csv,PASS,
ANL-009,ANL,Experiments,packages/api-contract/src/analytics/analytics.schema.ts,packages/api-contract/src/analytics/analytics.schema.test.ts; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/ANALYTICS_SCHEMA.md; docs/web-analytics/PRIVACY_EVENT_AUDIT.csv,PASS,
ANL-010,ANL,Data Quality,packages/api-contract/src/analytics/analytics.schema.ts,packages/api-contract/src/analytics/analytics.schema.test.ts; scripts/audit/validate-phase-8-web-analytics.mjs,docs/web-analytics/ANALYTICS_SCHEMA.md; docs/web-analytics/PRIVACY_EVENT_AUDIT.csv,PASS,
