
FullName                                     Length
--------                                     ------
lib/arm64-v8a/libc++_shared.so              1292904
lib/arm64-v8a/libexpo-modules-core.so       1352360
lib/arm64-v8a/libfbjni.so                    177000
lib/arm64-v8a/libgifimage.so                 318992
lib/arm64-v8a/libhermes.so                  3636808
lib/arm64-v8a/libhermestooling.so            925664
lib/arm64-v8a/libimagepipeline.so              8760
lib/arm64-v8a/libjsi.so                     1007480
lib/arm64-v8a/libnative-filters.so            23712
lib/arm64-v8a/libnative-imagetranscoder.so   585376
lib/arm64-v8a/libreactnative.so            22417896
lib/arm64-v8a/libreanimated.so              2711496
lib/arm64-v8a/librnscreens.so                167984
lib/arm64-v8a/libstatic-webp.so              501856
lib/arm64-v8a/libworklets.so                2168480
assets/index.android.bundle                 1961348
